vOTUs	Domain	Clade	Phylum	Class	Order	Family	Genus
SMV25_505	Bacteria		Pseudomonadota	Gammaproteobacteria	Unknown	Unknown	Unknown
SMV25_274	Bacteria		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unknown	Unknown
SMV25_002	Bacteria		Planctomycetota	Unknown	Unknown	Unknown	Unknown
SMV25_005	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_277	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
SMV25_698	Bacteria		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
SMV25_508	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_290	Bacteria		Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
SMV25_546	Bacteria		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
SMV25_545	Bacteria		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
SMV25_016	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unknown	Unknown
SMV25_317	Bacteria		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pukyongiella
SMV25_034	Archaea	TACK group	Candidatus Bathyarchaeota	Unknown	Unknown	Unknown	Unknown
SMV25_325	Bacteria		Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Unknown	Unknown
SMV25_043	Bacteria		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
SMV25_373	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SMV25_093	Bacteria	PVC group	Planctomycetota	Phycisphaerae	Unknown	Unknown	Unknown
SMV25_262	Bacteria		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Candidatus Fukatsuia
SMV25_082	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unknown	Unknown
SMV25_073	Archaea	TACK group	Candidatus Bathyarchaeota	Unknown	Unknown	Unknown	Unknown
SMV25_076	Bacteria	delta/epsilon subdivisions	Proteobacteria	Deltaproteobacteria	Unknown	Unknown	Unknown
SMV25_084	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_382	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unknown	Unknown
SMV25_101	Bacteria	Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus
SMV25_049	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unknown	Unknown
SMV25_734	Bacteria	Terrabacteria group; Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus
SMV25_125	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales	Unknown	Unknown
SMV25_569	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
SMV25_393	Bacteria		Proteobacteria	Gammaproteobacteria	Thiohalomonadales	Unknown	Unknown
SMV25_758	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas
SMV25_006	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_579	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys
SMV25_586	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys
SMV25_585	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Rhodopseudomonas
SMV25_176	Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Unknown	Unknown	Unknown	Unknown
SMV25_168	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
SMV25_170	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_302	Bacteria	Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Unknown
SMV25_295	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
SMV25_350	Bacteria		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pukyongiella
SMV25_007	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_185	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus
SMV25_429	Bacteria		Pseudomonadota	Gammaproteobacteria	Unknown	Unknown	Unknown
SMV25_303	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unknown
SMV25_550	Bacteria		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus
SMV25_532	Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Unknown	Unknown	Unknown	Unknown
SMV25_027	Bacteria		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Ectobacteriaceae	Brenneria
SMV25_270	Bacteria		Pseudomonadota	Betaproteobacteria	Burkholderiale	Comamonadaceae	Rhodoferax
SMV25_627	Bacteria		Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
SMV25_058	Bacteria	Terrabacteria group	Chloroflexota	Thermoflexia	Unknown	Unknown	Unknown
SMV25_436	Bacteria		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Unknown
SMV25_204	Bacteria	Terrabacteria group	Chloroflexota	Unknown	Unknown	Unknown	Unknown
SMV25_682	Bacteria		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia
SMV25_055	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
SMV25_054	Bacteria	Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium
SMV25_304	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
SMV25_503	Bacteria	Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Prescottella
SMV25_008	Bacteria	Sulfur-oxidizing symbionts	Pseudomonadota	Gammaproteobacteria; Gammaproteobacteria incertae sedis	Unknown	Unknown	Unknown
SMV25_471	Bacteria	Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
SMV25_469	Bacteria	Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
SMV25_306	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
SMV25_214	Bacteria		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea
SMV25_233	Bacteria	FCB group; Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Unknown	Unknown
SMV25_216	Bacteria		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
