Sample_ID,Location,Year,Compartment,Spartina,Transect,Point,Depth,N,W,Crab.burrows,Snails.density,sed_Eh,sed_pH,Fetot,FeII,Ammonium,Phosphate,Nitrate,Sulfide,Salinity,Sulfate,FeIII,Sed_13C,Sed_Total_N,Sed_15N,SOC,Sed_org13C,Density,BG_rate,CB_rate,XYL_rate,NAG_rate,PHOS_rate,Plant.height,Plant.density,Leaf_temp,Leaf_N,Leaf_15N,Leaf_C,Leaf_13C,Leaf_CN_ratio,plant_biomass,plant_biomass_area
1,Sapelo,2018,Bulk sediment,Tall,1,1,0-5,31.38894,81.27755,30,0,78.7,7.5,241.2984691,117.4454864,76.38308739,2.75004952,12.1809817,27.97462844,30.02428956,17.63794303,123.8529827,-20.2595,0.31,5.277,3.29,-21.0175,1.256,18.7358,8.8139,6.3565,5.8521,71.6254,120.8,27,24.15,1.535,7.35,45.845,-13.6,30.48801488,10.46327372,282.5083905
2,Sapelo,2018,Rhizosphere,Tall,1,1,0-5,31.38894,81.27755,30,0,78.7,7.5,241.2984691,117.4454864,76.38308739,2.75004952,12.1809817,27.97462844,30.02428956,17.63794303,123.8529827,-20.2595,0.31,5.277,3.29,-21.0175,1.256,18.7358,8.8139,6.3565,5.8521,71.6254,120.8,27,24.15,1.535,7.35,45.845,-13.6,30.48801488,10.46327372,282.5083905
3,Sapelo,2018,Endosphere,Tall,1,1,0-5,31.38894,81.27755,30,0,78.7,7.5,241.2984691,117.4454864,76.38308739,2.75004952,12.1809817,27.97462844,30.02428956,17.63794303,123.8529827,-20.2595,0.31,5.277,3.29,-21.0175,1.256,18.7358,8.8139,6.3565,5.8521,71.6254,120.8,27,24.15,1.535,7.35,45.845,-13.6,30.48801488,10.46327372,282.5083905
4,Sapelo,2018,Bulk sediment,Short,1,3,0-5,31.38943,81.27757,0,63,-332.3,6.4,13.91309647,5.015171346,88.33923905,76.50899085,0.01,902.2302477,42.97929735,21.91314701,8.897925126,-19.0275,0.3,3.905,4.52,-19.4975,NA,NA,NA,NA,NA,NA,45.3,25,26.05,1.56,5.69,45.005,-13.795,28.92605921,1.903344785,47.58361963
5,Sapelo,2018,Rhizosphere,Short,1,3,0-5,31.38943,81.27757,0,63,-332.3,6.4,13.91309647,5.015171346,88.33923905,76.50899085,0.01,902.2302477,42.97929735,21.91314701,8.897925126,-19.0275,0.3,3.905,4.52,-19.4975,NA,NA,NA,NA,NA,NA,45.3,25,26.05,1.56,5.69,45.005,-13.795,28.92605921,1.903344785,47.58361963
6,Sapelo,2018,Endosphere,Short,1,3,0-5,31.38943,81.27757,0,63,-332.3,6.4,13.91309647,5.015171346,88.33923905,76.50899085,0.01,902.2302477,42.97929735,21.91314701,8.897925126,-19.0275,0.3,3.905,4.52,-19.4975,NA,NA,NA,NA,NA,NA,45.3,25,26.05,1.56,5.69,45.005,-13.795,28.92605921,1.903344785,47.58361963
7,Sapelo,2018,Bulk sediment,Tall,2,1,0-5,31.38866,81.27693,26,0,34.5,7.1,275.2043315,185.7137203,30.29562363,2.792659939,2.839414554,81.41558512,26.62329481,17.70779535,89.49061121,-19.9785,0.42,4.745,3.83,-20.3795,1.126666667,16.6756,8.9111,6.2283,8.1869,50.8705,100.5,18,26.75,1.105,7.16,45.03,-13.34,40.66907169,7.621743597,137.1913847
8,Sapelo,2018,Rhizosphere,Tall,2,1,0-5,31.38866,81.27693,26,0,34.5,7.1,275.2043315,185.7137203,30.29562363,2.792659939,2.839414554,81.41558512,26.62329481,17.70779535,89.49061121,-19.9785,0.42,4.745,3.83,-20.3795,1.126666667,16.6756,8.9111,6.2283,8.1869,50.8705,100.5,18,26.75,1.105,7.16,45.03,-13.34,40.66907169,7.621743597,137.1913847
9,Sapelo,2018,Endosphere,Tall,2,1,0-5,31.38866,81.27693,26,0,34.5,7.1,275.2043315,185.7137203,30.29562363,2.792659939,2.839414554,81.41558512,26.62329481,17.70779535,89.49061121,-19.9785,0.42,4.745,3.83,-20.3795,1.126666667,16.6756,8.9111,6.2283,8.1869,50.8705,100.5,18,26.75,1.105,7.16,45.03,-13.34,40.66907169,7.621743597,137.1913847
10,Sapelo,2018,Bulk sediment,Short,2,3,0-5,31.3893,81.27705,5,26,-143,6.5,88.98601808,62.94217992,118.9253616,10.53258511,1.177789758,237.8185674,34.77054321,25.82952275,26.04383816,-17.2145,0.38,3.324,7.08,-17.2405,1.092857143,3.4442,0.93,2.2499,2.0268,16.0761,21.5,27,33.25,1.665,5.18,45.155,-13.695,27.06476215,0.423993642,11.44782834
11,Sapelo,2018,Rhizosphere,Short,2,3,0-5,31.3893,81.27705,5,26,-143,6.5,88.98601808,62.94217992,118.9253616,10.53258511,1.177789758,237.8185674,34.77054321,25.82952275,26.04383816,-17.2145,0.38,3.324,7.08,-17.2405,1.092857143,3.4442,0.93,2.2499,2.0268,16.0761,21.5,27,33.25,1.665,5.18,45.155,-13.695,27.06476215,0.423993642,11.44782834
12,Sapelo,2018,Endosphere,Short,2,3,0-5,31.3893,81.27705,5,26,-143,6.5,88.98601808,62.94217992,118.9253616,10.53258511,1.177789758,237.8185674,34.77054321,25.82952275,26.04383816,-17.2145,0.38,3.324,7.08,-17.2405,1.092857143,3.4442,0.93,2.2499,2.0268,16.0761,21.5,27,33.25,1.665,5.18,45.155,-13.695,27.06476215,0.423993642,11.44782834
13,Sapelo,2019,Bulk sediment,Tall,3,1,0-5,31.38892,81.27632,60,0,-48.5,6.6,31.55578042,11.06780752,85.70171014,0.01,0.209339979,42.65040465,26.30724662,14.49134702,20.48797289,-20.1695,0.31,4.935,3.38,-21.6115,1.233333333,16.1312,9.7204,7.0182,7.6942,52.4393,66.1,18,29.275,1.095,7.25,45.535,-13.565,43.56925866,3.729582183,67.13247929
14,Sapelo,2019,Rhizosphere,Tall,3,1,0-5,31.38892,81.27632,60,0,-48.5,6.6,31.55578042,11.06780752,85.70171014,0.01,0.209339979,42.65040465,26.30724662,14.49134702,20.48797289,-20.1695,0.31,4.935,3.38,-21.6115,1.233333333,16.1312,9.7204,7.0182,7.6942,52.4393,66.1,18,29.275,1.095,7.25,45.535,-13.565,43.56925866,3.729582183,67.13247929
15,Sapelo,2019,Endosphere,Tall,3,1,0-5,31.38892,81.27632,60,0,-48.5,6.6,31.55578042,11.06780752,85.70171014,0.01,0.209339979,42.65040465,26.30724662,14.49134702,20.48797289,-20.1695,0.31,4.935,3.38,-21.6115,1.233333333,16.1312,9.7204,7.0182,7.6942,52.4393,66.1,18,29.275,1.095,7.25,45.535,-13.565,43.56925866,3.729582183,67.13247929
16,Sapelo,2019,Bulk sediment,Short,3,3,0-5,31.38957,81.27657,3,29,-371,6.9,14.63682021,0.01,242.4694468,98.31674941,0.01,653.9822155,28.43964257,15.9448938,16.425989,-17.1655,0.38,3.493,7.36,-17.5815,0.97826087,6.2892,2.0139,2.7603,1.4234,25.229,32,51,34.75,1.235,5.205,45.615,-13.835,36.9620149,1.146368929,58.46481537
17,Sapelo,2019,Rhizosphere,Short,3,3,0-5,31.38957,81.27657,3,29,-371,6.9,14.63682021,0.01,242.4694468,98.31674941,0.01,653.9822155,28.43964257,15.9448938,16.425989,-17.1655,0.38,3.493,7.36,-17.5815,0.97826087,6.2892,2.0139,2.7603,1.4234,25.229,32,51,34.75,1.235,5.205,45.615,-13.835,36.9620149,1.146368929,58.46481537
18,Sapelo,2019,Endosphere,Short,3,3,0-5,31.38957,81.27657,3,29,-371,6.9,14.63682021,0.01,242.4694468,98.31674941,0.01,653.9822155,28.43964257,15.9448938,16.425989,-17.1655,0.38,3.493,7.36,-17.5815,0.97826087,6.2892,2.0139,2.7603,1.4234,25.229,32,51,34.75,1.235,5.205,45.615,-13.835,36.9620149,1.146368929,58.46481537
19,Sapelo,2019,Bulk sediment,Tall,4,1,0-5,31.38904,81.27569,55,1,86,6.9,48.53548366,6.245473846,53.04100644,0.01,1.262212899,13.55589762,29.29156467,18.84981155,42.29000981,-19.9555,0.4,5.058,3.69,-20.2825,1.210263158,18.8298,9.5768,7.0095,10.1706,62.2038,82.5,20,28.275,1.42,7.695,45.695,-13.48,32.16453539,5.375219361,107.5043872
20,Sapelo,2019,Rhizosphere,Tall,4,1,0-5,31.38904,81.27569,55,1,86,6.9,48.53548366,6.245473846,53.04100644,0.01,1.262212899,13.55589762,29.29156467,18.84981155,42.29000981,-19.9555,0.4,5.058,3.69,-20.2825,1.210263158,18.8298,9.5768,7.0095,10.1706,62.2038,82.5,20,28.275,1.42,7.695,45.695,-13.48,32.16453539,5.375219361,107.5043872
21,Sapelo,2019,Endosphere,Tall,4,1,0-5,31.38904,81.27569,55,1,86,6.9,48.53548366,6.245473846,53.04100644,0.01,1.262212899,13.55589762,29.29156467,18.84981155,42.29000981,-19.9555,0.4,5.058,3.69,-20.2825,1.210263158,18.8298,9.5768,7.0095,10.1706,62.2038,82.5,20,28.275,1.42,7.695,45.695,-13.48,32.16453539,5.375219361,107.5043872
