sample	votus	coverage	meandepth	rpkm
sample_1	SMV25_001	86.5602	2.46658	0.47156
sample_1	SMV25_002	78.7636	1.6697	0.368863
sample_1	SMV25_003	93.6332	3.73977	0.780859
sample_1	SMV25_004	76.0734	1.69279	0.259609
sample_1	SMV25_005	100	11.8897	3.29581
sample_1	SMV25_006	100	10.2407	1.76011
sample_1	SMV25_007	100	8.74372	1.59874
sample_1	SMV25_008	82.9309	7.61173	2.30499
sample_1	SMV25_009	100	14.2859	2.33384
sample_1	SMV25_010	77.5177	1.90428	0.339143
sample_2	SMV25_011	85.5009	1.80015	0.419828
sample_2	SMV25_003	93.152	3.10864	0.823558
sample_2	SMV25_012	79.0665	1.78261	0.396203
sample_2	SMV25_013	80.7699	3.63802	1.56163
sample_2	SMV25_004	89.0788	1.67445	0.346546
sample_2	SMV25_014	81.4821	1.69698	0.355502
sample_2	SMV25_005	100	10.1999	3.89104
sample_2	SMV25_015	81.3774	1.76772	0.347112
sample_2	SMV25_016	76.1003	3.38366	1.10092
sample_2	SMV25_006	99.2669	8.2589	2.00162
sample_2	SMV25_017	100	11.5738	2.36678
sample_2	SMV25_007	100	9.68169	2.28929
sample_2	SMV25_009	97.93	4.72484	1.23908
sample_2	SMV25_010	89.3344	2.66123	0.603483
sample_3	SMV25_018	98.5273	5.40923	0.765437
sample_3	SMV25_019	96.0572	3.47648	0.497018
sample_3	SMV25_020	100	7.11855	1.00194
sample_3	SMV25_021	95.7617	3.64002	0.608214
sample_3	SMV25_022	97.3163	5.32591	0.744002
sample_3	SMV25_023	100	11.6048	2.35923
sample_3	SMV25_024	77.2293	1.75899	0.467266
sample_3	SMV25_025	99.296	5.42055	0.770752
sample_3	SMV25_026	98.81	5.26679	1.04887
sample_3	SMV25_027	87.9835	3.96601	0.688537
sample_3	SMV25_028	99.9855	5.83582	0.885015
sample_3	SMV25_029	97.2597	41.9116	12.4027
sample_3	SMV25_030	98.8388	18.5228	4.15447
sample_3	SMV25_031	88.7357	2.17408	0.340247
sample_3	SMV25_032	80.1975	1.52139	0.225921
sample_4	SMV25_012	93.9818	3.07855	0.378685
sample_4	SMV25_005	100	12.8121	2.84341
sample_4	SMV25_033	99.8213	3.77823	0.418701
sample_4	SMV25_016	81.1711	7.45044	1.3005
sample_4	SMV25_034	89.7411	8.49608	1.13074
sample_4	SMV25_035	95.1773	3.28879	0.366774
sample_4	SMV25_036	86.5302	2.53372	0.411364
sample_4	SMV25_037	97.1148	4.31956	0.514338
sample_4	SMV25_038	99.6864	6.60068	0.786951
sample_4	SMV25_039	93.5701	5.94504	0.766391
sample_4	SMV25_040	93.0671	2.54149	0.321927
sample_4	SMV25_041	99.0744	4.82742	0.676209
sample_4	SMV25_042	97.3625	3.12517	0.430062
sample_4	SMV25_043	99.7933	4.54102	0.527186
sample_4	SMV25_044	97.5116	3.1836	0.402641
sample_4	SMV25_045	76.9688	2.27548	0.275325
sample_4	SMV25_046	99.7624	6.84464	0.989837
sample_4	SMV25_047	83.3333	2.02346	0.274508
sample_4	SMV25_048	79.8084	2.00747	0.25994
sample_4	SMV25_049	82.6369	11.32	2.34968
sample_4	SMV25_050	95.7103	4.46905	0.607247
sample_4	SMV25_006	100	20.7799	2.75215
sample_4	SMV25_051	100	5.45347	0.593365
sample_4	SMV25_007	100	22.9942	3.09781
sample_4	SMV25_052	80.9033	2.3233	0.371938
sample_4	SMV25_053	99.7056	7.34697	0.827857
sample_4	SMV25_054	81.3709	4.4865	0.849671
sample_4	SMV25_055	88.6788	4.58737	0.728296
sample_4	SMV25_056	94.8825	5.19614	0.794071
sample_4	SMV25_057	90.1047	2.25172	0.336228
sample_4	SMV25_058	93.5838	8.87418	1.79685
sample_4	SMV25_008	100	24.034	3.73302
sample_4	SMV25_009	100	7.47002	1.00234
sample_4	SMV25_059	96.9981	3.52198	0.521944
sample_4	SMV25_010	100	5.47535	0.651871
sample_5	SMV25_005	99.4377	8.22222	2.16604
sample_5	SMV25_060	87.2388	3.81991	0.723705
sample_5	SMV25_061	83.3929	2.71101	0.363159
sample_5	SMV25_016	87.6961	12.3867	2.48219
sample_5	SMV25_034	78.0404	5.1481	0.767853
sample_5	SMV25_036	98.8694	5.59805	0.775834
sample_5	SMV25_038	80.2863	2.01118	0.328244
sample_5	SMV25_062	88.1734	2.72409	0.403375
sample_5	SMV25_063	94.3687	4.18	0.601945
sample_5	SMV25_064	99.8494	8.01008	0.963651
sample_5	SMV25_065	93.9752	2.82163	0.356166
sample_5	SMV25_066	98.0963	7.31492	1.0518
sample_5	SMV25_045	97.0946	6.09048	0.760697
sample_5	SMV25_067	99.3331	9.13866	1.06271
sample_5	SMV25_068	99.454	7.88313	0.942556
sample_5	SMV25_069	83.6066	2.73603	0.375295
sample_5	SMV25_070	89.192	2.21837	0.275704
sample_5	SMV25_071	87.8094	2.58291	0.348025
sample_5	SMV25_072	99.6183	11.916	1.72395
sample_5	SMV25_073	88.5267	5.46073	1.0253
sample_5	SMV25_074	100	7.13139	0.829614
sample_5	SMV25_075	86.0929	2.24716	0.264991
sample_5	SMV25_076	95.732	3.27182	0.49563
sample_5	SMV25_077	99.2175	4.87551	0.681597
sample_5	SMV25_078	78.4582	3.10318	0.485
sample_5	SMV25_079	100	6.67126	0.925802
sample_5	SMV25_080	98.8301	5.3582	0.629613
sample_5	SMV25_081	92.7338	3.0668	0.398653
sample_5	SMV25_082	80.0583	11.1217	2.91202
sample_5	SMV25_046	100	9.00073	1.42801
sample_5	SMV25_083	99.9715	6.39198	0.88076
sample_5	SMV25_084	100	15.7218	2.48155
sample_5	SMV25_085	98.6007	6.42637	1.04358
sample_5	SMV25_086	93.2508	3.12902	0.40781
sample_5	SMV25_087	98.5598	3.28304	0.393574
sample_5	SMV25_088	100	8.26777	0.996026
sample_5	SMV25_089	100	7.07503	0.823013
sample_5	SMV25_090	99.192	7.06699	1.04339
sample_5	SMV25_091	89.3889	3.67488	0.469687
sample_5	SMV25_092	76.5376	3.9211	0.698405
sample_5	SMV25_093	96.3162	4.00511	0.662812
sample_5	SMV25_094	100	7.87015	0.963597
sample_5	SMV25_095	99.4339	7.20236	0.875127
sample_5	SMV25_047	99.4786	5.50968	0.680159
sample_5	SMV25_096	99.2696	6.80963	0.90102
sample_5	SMV25_097	100	9.12096	1.17348
sample_5	SMV25_098	98.3135	4.57125	0.551065
